iter	MultiClass
0	1.064190891
1	1.038358991
2	1.016172492
3	0.9975643373
4	0.9822086531
5	0.968485399
6	0.9564218884
7	0.9455604951
8	0.9362082148
9	0.9276130639
10	0.9200140846
11	0.9130516729
12	0.9064416576
13	0.9008822141
14	0.8952750096
15	0.8899744355
16	0.8851250034
17	0.8802676445
18	0.875829577
19	0.8715484237
20	0.867897095
21	0.8644682388
22	0.8609474859
23	0.8579796733
24	0.8546836282
25	0.8515650475
26	0.8486296631
27	0.8457751497
28	0.8431609227
29	0.8402931651
30	0.8378324972
31	0.8349878885
32	0.8323598966
33	0.829723178
34	0.8269832654
35	0.8245132494
36	0.8217385904
37	0.8195771453
38	0.8176196641
39	0.8153686513
40	0.8131140174
41	0.8109287645
42	0.8089796215
43	0.8068182921
44	0.8050259286
45	0.8031682399
46	0.8007247161
47	0.7988790817
48	0.7968110783
49	0.795078845
50	0.7932188212
51	0.7916145189
52	0.789755029
53	0.7881080742
54	0.7862239973
55	0.7843375063
56	0.7824935084
57	0.7810321304
58	0.7795169106
59	0.7778965126
60	0.7763195806
61	0.7747814821
62	0.7730895688
63	0.7714781525
64	0.7698462745
65	0.7681891362
66	0.7665128024
67	0.7651245879
68	0.7635830195
69	0.7621097045
70	0.760321339
71	0.759176534
72	0.7578784685
73	0.7567516065
74	0.7552874983
75	0.7538079012
76	0.7523818694
77	0.7511473217
78	0.7498383468
79	0.7486690506
80	0.7475623715
81	0.7463905518
82	0.7450472747
83	0.7435384927
84	0.7421710317
85	0.7410254067
86	0.7397601843
87	0.7383022932
88	0.7371381538
89	0.7359102645
90	0.7346718613
91	0.7336337517
92	0.7324415176
93	0.7312606057
94	0.7302259525
95	0.729152052
96	0.7279725187
97	0.726840711
98	0.7257360684
99	0.7246036556
100	0.7237188924
101	0.7224020158
102	0.7212840972
103	0.7202004073
104	0.7191986406
105	0.7181960521
106	0.7170078184
107	0.7159529379
108	0.7147331494
109	0.713770386
110	0.7127220251
111	0.7118264789
112	0.7104174338
113	0.7093227078
114	0.7081391698
115	0.7070447553
116	0.7061406447
117	0.7050771186
118	0.7041586666
119	0.7031060379
120	0.7021225937
121	0.7009037669
122	0.6999342561
123	0.6989930201
124	0.6978124572
125	0.6966072166
126	0.6956912145
127	0.6946669937
128	0.6936986157
129	0.6926729207
130	0.6917061544
131	0.6906522005
132	0.6897073905
133	0.6889067353
134	0.6880599936
135	0.6868323127
136	0.6858113665
137	0.6849780703
138	0.6840235783
139	0.6828969298
140	0.682029744
141	0.6810488824
142	0.6801429445
143	0.6790096738
144	0.6779469935
145	0.6770110786
146	0.6762904416
147	0.675491044
148	0.6744746502
149	0.6733996399
150	0.6724989431
151	0.6715476058
152	0.6707600874
153	0.6697823585
154	0.6689169947
155	0.6681937944
156	0.6673523377
157	0.6665415501
158	0.6656830301
159	0.664913148
160	0.6636502745
161	0.6630642556
162	0.6623179029
163	0.6615894473
164	0.6608057241
165	0.6599606482
166	0.6592833788
167	0.6584505307
168	0.6576219896
169	0.6569449654
170	0.6562825738
171	0.6555311542
172	0.6548435079
173	0.6542034715
174	0.6534405673
175	0.6527600708
176	0.6520755705
177	0.6514043409
178	0.6505380974
179	0.6497941276
180	0.6491152483
181	0.6482608017
182	0.6472923286
183	0.6465892053
184	0.6458439369
185	0.6450920573
186	0.6443788285
187	0.6437767028
188	0.6429587824
189	0.6423497504
190	0.6416792541
191	0.6411295453
192	0.6404438105
193	0.6397852348
194	0.6392043626
195	0.6385110233
196	0.6378811793
197	0.6372866837
198	0.6367501446
199	0.6361018803
200	0.6354372033
201	0.6347984278
202	0.6340992314
203	0.6335112356
