,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1438921881059577860,1438921881059577860,2021-09-17 13:44:44 Eastern Daylight Time,2021-09-17,13:44:44,-400,2769914645,chndlerz,Maree ,,iphone 13 looking kinda sexy,en,[],[],[],0,0,0,[],[],https://twitter.com/chndlerz/status/1438921881059577860,False,,0,,,,,,,,[],,,,
1,1438921879167905793,1438921879167905793,2021-09-17 13:44:44 Eastern Daylight Time,2021-09-17,13:44:44,-400,42980370,9to5toys,9to5Toys,,"Casely unveils wild new TikTok-worthy iPhone 13 MagSafe cases, now 30% off with our code  https://t.co/xvecv4H5JR by @justinkahnmusic",en,"[{'screen_name': 'justinkahnmusic', 'name': 'justin kahn', 'id': '53772036'}]",['https://9to5toys.com/2021/09/17/casely-iphone-13-case/'],[],0,0,0,[],[],https://twitter.com/9to5toys/status/1438921879167905793,False,,0,,,,,,,,[],,,,
2,1438921878433828869,1438921878433828869,2021-09-17 13:44:44 Eastern Daylight Time,2021-09-17,13:44:44,-400,2850721875,splatoon3amy,Amy Rose,,Although the iPhone 13 is a major upgrade to her iPhone 7 but I have a funny feeling that phone is gonna break or explode. #Offline,en,[],[],[],0,0,0,['offline'],[],https://twitter.com/Splatoon3Amy/status/1438921878433828869,False,,0,,,,,,,,[],,,,
4,1438921869504270336,1438921869504270336,2021-09-17 13:44:42 Eastern Daylight Time,2021-09-17,13:44:42,-400,1259491957186990082,tellusdaily1,tellusdaily,,iphone 13: Here’s how Apple has eliminated the plastic wrap from the iPhone 13 box – Times of India  https://t.co/S8Hw1ihdN1,en,[],['https://tellusdaily.com/2021/09/17/iphone-13-right-heres-how-apple-has-eradicated-the-plastic-wrap-from-the-iphone-13-field-occasions-of-india/'],[],0,0,0,[],[],https://twitter.com/tellusdaily1/status/1438921869504270336,False,,0,,,,,,,,[],,,,
5,1438921861203648517,1438921861203648517,2021-09-17 13:44:40 Eastern Daylight Time,2021-09-17,13:44:40,-400,1398003114142220295,erictrauber,"Eric Trauber, PT, DPT, OCS, CSCS, FAAOMPT",,iPhone 12 and iPhone 13  https://t.co/3zMmlIsCKX,en,[],[],['https://pbs.twimg.com/media/E_gTw60XoAAtQKF.jpg'],0,0,0,[],[],https://twitter.com/EricTrauber/status/1438921861203648517,False,,1,https://pbs.twimg.com/media/E_gTw60XoAAtQKF.jpg,,,,,,,[],,,,
6,1438921853699981315,1438921853699981315,2021-09-17 13:44:38 Eastern Daylight Time,2021-09-17,13:44:38,-400,1351667165888344067,eddy0rozco98,eddy,,Omg do i want to pre order the new iPhone 13 ?! 😭,en,[],[],[],0,0,0,[],[],https://twitter.com/Eddy0rozco98/status/1438921853699981315,False,,0,,,,,,,,[],,,,
7,1438921841075277830,1438860913008791552,2021-09-17 13:44:35 Eastern Daylight Time,2021-09-17,13:44:35,-400,450006394,chanb3567,Chan,,@ijustine Ehh not really since there is nothing special in iPhone 13 I am looking forward to. It’s not blackberry to iPhone moment.,en,[],[],[],0,0,0,[],[],https://twitter.com/chanb3567/status/1438921841075277830,False,,0,,,,,,,,"[{'screen_name': 'ijustine', 'name': 'iJustine', 'id': '7846'}]",,,,
8,1438921835094200321,1438917493117104139,2021-09-17 13:44:34 Eastern Daylight Time,2021-09-17,13:44:34,-400,447928594,bbongoledenis,Formaldehyde,,@UnitedsTrophy iPhone 13,en,[],[],[],0,0,0,[],[],https://twitter.com/BbongoleDenis/status/1438921835094200321,False,,0,,,,,,,,"[{'screen_name': 'UnitedsTrophy', 'name': 'Farahan Omar', 'id': '575180540'}]",,,,
11,1438921750008549378,1438921750008549378,2021-09-17 13:44:13 Eastern Daylight Time,2021-09-17,13:44:13,-400,1329223364687372289,beatshonest,Honest Ave,,iPhone 13 dropped today n there’s no phone debate on the TL? iPhone not fire anymore,en,[],[],[],0,0,0,[],[],https://twitter.com/BeatsHonest/status/1438921750008549378,False,,0,,,,,,,,[],,,,
12,1438921748666195974,1438921748666195974,2021-09-17 13:44:13 Eastern Daylight Time,2021-09-17,13:44:13,-400,4534144645,lookitsjae,Look!! Its Jae😮,,Ordered that new iPhone 13 Pro Max. got that 1TB of memory now finally 😂,en,[],[],[],0,0,0,[],[],https://twitter.com/lookitsjae/status/1438921748666195974,False,,0,,,,,,,,[],,,,
